original_title,runtime,year_release,budget_adjusted,revenue_final_adjusted
Frankenhooker,85.0,1990,5901887,484115
Lionheart,105.0,1990,14164529,56842719
The Sheltering Sky,138.0,1990,59018872,4898764
House Party,100.0,1990,5901887,62290878
Postcards from the Edge,101.0,1990,51936607,92238478
The Two Jakes,138.0,1990,44854343,23607549
Dick Tracy,103.0,1990,110955480,244901706
Cry-Baby,85.0,1990,25968303,19514809
Paris is Burning,71.0,1990,1180377,8922756
Back to the Future Part III,118.0,1990,94430196,577269691
Days of Thunder,107.0,1990,141645294,372812145
Tales from the Darkside: The Movie,93.0,1990,8262642,38538315
Predator 2,108.0,1990,82626421,134847071
Graveyard Shift,89.0,1990,24787926,27344366
Hardware,93.0,1990,3541132,13524653
The Rescuers Down Under,77.0,1990,89545794,111974054
The Bonfire of the Vanities,125.0,1990,110955480,37043058
Misery,107.0,1990,47215098,144659676
The Neverending Story II: The Next Chapter,89.0,1990,75544157,38441746
Jacob's Ladder,113.0,1990,59018872,61297341
The Godfather: Part III,162.0,1990,127480764,322871152
Loose Cannons,94.0,1990,3541132,13185179
Teenage Mutant Ninja Turtles,93.0,1990,31870191,476872491
The First Power,98.0,1990,23607549,52938028
GoodFellas,145.0,1990,59018872,110569246
Class of 1999,99.0,1990,12275925,5807209
Night of the Living Dead,88.0,1990,9915170,13775587
Death Warrant,93.0,1990,9443019,39786952
Kindergarten Cop,111.0,1990,35411323,476772602
Dances with Wolves,181.0,1990,51936607,1001453119
Mr. Destiny,110.0,1990,47215098,36306646
Ghost,127.0,1990,51936607,1192181228
RoboCop 2,117.0,1990,82626421,107842053
Nightbreed,102.0,1990,25968303,20921845
The Adventures of Ford Fairlane,104.0,1990,115676990,48214615
Mermaids,110.0,1990,73183402,83616515
Another 48 Hrs.,95.0,1990,89708686,362420671
Marked for Death,94.0,1990,28329058,108699543
Darkman,96.0,1990,37772078,115390163
Dark Angel,91.0,1990,16525284,21788353
The Rookie,120.0,1990,23607549,51072274
Wild at Heart,124.0,1990,22427171,34373174
King of New York,103.0,1990,2360754,6030491
Spaced Invaders,100.0,1990,7082264,36283794
Tremors,96.0,1990,25968303,114666587
Miller's Crossing,115.0,1990,33050568,11993600
Total Recall,113.0,1990,153449068,616907564
Presumed Innocent,127.0,1990,51936607,522442587
Pretty Woman,119.0,1990,33050568,1093029522
Die Hard 2,124.0,1990,165252843,566654583
Home Alone,103.0,1990,42493588,1125335685
The Hunt for Red October,134.0,1990,70822647,470262377
Stanley & Iris,104.0,1990,54297362,13739628
Child's Play 2,84.0,1990,30689813,84429106
Edward Scissorhands,105.0,1990,47215098,125120010
Arachnophobia,103.0,1990,73183402,125611472
Double Impact,110.0,1991,33597732,67425535
City Slickers,112.0,1991,60475918,401008629
Nothing but Trouble,94.0,1991,89593953,18993454
For the Boys,138.0,1991,89593953,51969967
Harley Davidson and the Marlboro Man,98.0,1991,51516523,16652662
Delirious,96.0,1991,40317279,12424054
JFK,189.0,1991,89593953,460077266
Cool as Ice,91.0,1991,13439093,2672278
Thelma & Louise,130.0,1991,35837581,101601783
Highway to Hell,94.0,1991,20158639,58359
Year of the Gun,111.0,1991,2648112,2648112
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,88.0,1991,55996221,174708209
Jungle Fever,132.0,1991,31357883,72756297
Point Break,120.0,1991,53756372,187098959
Paradise,111.0,1991,76154860,41738783
Child's Play 3,90.0,1991,29118034,46051863
The Addams Family,99.0,1991,67195465,428936487
Night on Earth,129.0,1991,7839470,4515109
Fried Green Tomatoes,130.0,1991,24638337,267479391
Terminator 2: Judgment Day,137.0,1991,223984884,1164721398
The Indian Runner,127.0,1991,15678941,428091
The Rocketeer,108.0,1991,94073651,138870628
Mannequin Two: On the Move,95.0,1991,29118034,8404867
Shadows and Fog,85.0,1991,31357883,6127623
Closet Land,94.0,1991,8959395,580147
Meet the Applegates,90.0,1991,11199244,1088055
Dutch,107.0,1991,38077430,10312105
Cape Fear,128.0,1991,78394709,408324443
The Super,84.0,1991,49276674,24640270
At Play in the Fields of the Lord,189.0,1991,80634558,3014619
White Fang,107.0,1991,31357883,77931419
The Doctor,122.0,1991,26878186,85385064
Out for Justice,91.0,1991,31357883,88861883
Rambling Rose,112.0,1991,16798866,14036283
Beastmaster 2: Through the Portal of Time,107.0,1991,13439093,1947156
The Rapture,100.0,1991,2749192,2861185
Star Trek VI: The Undiscovered Country,113.0,1991,60475918,217041352
Freddy's Dead: The Final Nightmare,89.0,1991,24638337,78108082
Mobsters,104.0,1991,51516523,45349749
A Rage in Harlem,115.0,1991,17918790,23294427
The Perfect Weapon,87.0,1991,22398488,31495323
The Naked Gun 2½: The Smell of Fear,85.0,1991,51516523,194710980
Don't Tell Mom the Babysitter's Dead,105.0,1991,22398488,56435789
Boyz n the Hood,112.0,1991,14559017,128800422
Bugsy,134.0,1991,67195465,110007971
What About Bob?,100.0,1991,78394709,142700769
F/X2,108.0,1991,36733521,47220862
Robin Hood: Prince of Thieves,143.0,1991,107512744,874647327
Return to the Blue Lagoon,98.0,1991,24638337,6289168
Sleeping with the Enemy,99.0,1991,42557128,391971318
The Silence of the Lambs,119.0,1991,42557128,610902918
Delicatessen,99.0,1991,8959395,4018707
Backdraft,137.0,1991,167988663,341282598
ഗോഡ്ഫാദർ,150.0,1991,40317,1567894
Drop Dead Fred,103.0,1991,15204093,31085370
The Fisher King,137.0,1991,53756372,93839567
Poison,85.0,1991,559962,1365241
Madonna: Truth or Dare,119.0,1991,8,64
Oscar,109.0,1991,78394709,52776922
The Doors,140.0,1991,85114256,77088637
Beauty and the Beast,84.0,1991,55996221,845208199
Showdown in Little Tokyo,79.0,1991,17918790,5096903
Highlander II: The Quickening,91.0,1991,67195465,34843850
Hudson Hawk,100.0,1991,145590174,38565896
The Last Boy Scout,105.0,1991,64955616,133293236
Hot Shots!,84.0,1991,58236069,405628033
Pure Luck,96.0,1991,38099828,55866240
Dingo,109.0,1991,447969,671954
Hook,144.0,1991,156789418,673869327
Another You,94.0,1991,38077430,6419218
Run,91.0,1991,35837581,9876228
The Prince of Tides,132.0,1991,67195465,167512917
The Marrying Man,116.0,1991,58236069,27896797
Scenes from a Mall,89.0,1991,6719546,21420554
Barton Fink,116.0,1991,20158639,13783893
Rock-A-Doodle,77.0,1991,40317279,26110780
New Jack City,97.0,1991,19038715,106671127
Shattered,98.0,1991,49276674,25782969
Far and Away,140.0,1992,128930759,296076251
Pet Sematary II,100.0,1992,17190767,36729049
The Last of the Mohicans,112.0,1992,85953839,162250455
Patriot Games,117.0,1992,96698069,382605438
Split Second,90.0,1992,15,10
The Lawnmower Man,108.0,1992,21488459,68980105
Cool World,102.0,1992,64465379,30321482
Under Siege,103.0,1992,75209609,336430073
The Bodyguard,129.0,1992,53721149,883190184
Malcolm X,202.0,1992,73060763,103509713
Batman Returns,126.0,1992,171907679,601676876
Reservoir Dogs,99.0,1992,2578615,31504246
Scent of a Woman,157.0,1992,66614225,288150046
Death Becomes Her,104.0,1992,118186529,320226723
Captain Ron,100.0,1992,51572303,48387922
Raising Cain,91.0,1992,25786151,79872727
A League of Their Own,128.0,1992,85953839,230912379
Wayne's World,94.0,1992,42976919,261508804
Candyman,99.0,1992,12893075,55423701
Single White Female,107.0,1992,34381535,103182001
Sister Act,100.0,1992,66614225,497683797
Glengarry Glen Ross,100.0,1992,26860574,23046863
The Crying Game,112.0,1992,7962630,134408053
Noises Off...,101.0,1992,25786151,4899686
Passenger 57,84.0,1992,32232689,94690301
警察故事 III：超級警察,95.0,1992,1933961,44015721
Radio Flyer,114.0,1992,75209609,9996382
Unforgiven,131.0,1992,30083843,342004841
Basic Instinct,127.0,1992,105293453,758386249
Alien³,114.0,1992,107442299,343328741
El Mariachi,81.0,1992,472746,4385622
Dracula,128.0,1992,85953839,463855679
Bad Lieutenant,96.0,1992,2148845,4339527
Twin Peaks: Fire Walk with Me,134.0,1992,21488459,8941027
Buffy the Vampire Slayer,86.0,1992,15041921,35723395
The Hand that Rocks the Cradle,110.0,1992,25141498,189177273
Strictly Ballroom,94.0,1992,6446537,72945207
Rapid Fire,95.0,1992,21488459,30849862
Aladdin,90.0,1992,60167687,1083126291
Home Alone 2: Lost in New York,120.0,1992,38679227,771417833
Out on a Limb,82.0,1992,23637305,3566100
Jennifer Eight,124.0,1992,42976919,24476385
Braindead,104.0,1992,6446537,521359
Man Trouble,100.0,1992,64,8
Lethal Weapon 3,118.0,1992,75209609,691351501
City of Joy,132.0,1992,58018841,31553484
Army of Darkness,81.0,1992,23637305,46206196
Swoon,82.0,1992,537211,730923
1492: Conquest of Paradise,154.0,1992,100995761,15453208
Honey I Blew Up the Kid,89.0,1992,85953839,126056574
Mr. Saturday Night,119.0,1992,92400377,28579651
The Mighty Ducks,101.0,1992,21488459,109058955
Newsies,121.0,1992,32232689,6058639
双龙会,89.0,1992,21488459,17963744
Hellraiser III: Hell on Earth,93.0,1992,10744229,26935700
Wind,126.0,1992,62316533,11860703
Juice,96.0,1992,10744229,43292542
Claire of the Moon,105.0,1992,279349,1718376
Consenting Adults,99.0,1992,38679227,46397298
The Gun in Betty Lou's Handbag,89.0,1992,27934997,7997813
Diggstown,98.0,1992,36530381,10393188
Christopher Columbus: The Discovery,120.0,1992,85953839,17730280
Falling From Grace,100.0,1992,6,498
South Central,99.0,1992,8595383,2950786
Article 99,100.0,1992,38679227,13700996
Pushing Hands,105.0,1992,859538,327316
A Few Good Men,138.0,1992,85953839,522685680
Stay Tuned,87.0,1992,53721149,23070872
Fortress,95.0,1992,17190767,14481376
Como agua para chocolate,105.0,1992,4297691,46555754
The Player,124.0,1992,17190767,46643068
Boomerang,117.0,1992,85953839,150634103
Bitter Moon,139.0,1992,10744229,4002881
My Cousin Vinny,120.0,1992,23637305,137716427
Memoirs of an Invisible Man,99.0,1992,85953839,30853201
Unlawful Entry,117.0,1992,49423457,122782307
The Pelican Brief,141.0,1993,93855359,407265637
The Thing Called Love,116.0,1993,29199445,2147663
Sliver,108.0,1993,83426986,242563963
Schindler's List,195.0,1993,45884842,670264021
Hot Shots! Part Deux,86.0,1993,52141866,278964878
Ruby in Paradise,114.0,1993,1668539,2088671
So I Married an Axe Murderer,93.0,1993,41713493,24163548
Striking Distance,102.0,1993,62,50281167
Romeo Is Bleeding,100.0,1993,23985258,6831804
The Remains of the Day,134.0,1993,23985258,48466722
Robin Hood: Men in Tights,104.0,1993,41713493,74541501
The Nightmare Before Christmas,76.0,1993,37542143,157748770
The Three Musketeers,105.0,1993,62570239,112415455
Tombstone,130.0,1993,52141866,117851182
Sleepless in Seattle,105.0,1993,43799167,475116446
RoboCop 3,104.0,1993,45884842,22308814
The Dark Half,122.0,1993,31285119,22131427
The Joy Luck Club,139.0,1993,22942421,68537638
Fire in the Sky,109.0,1993,41474791,41138543
The Piano,121.0,1993,14599722,243398233
Rudy,114.0,1993,25028095,47449855
Philadelphia,125.0,1993,54227541,431063985
Alive,120.0,1993,66741589,76614983
The Adventures of Huck Finn,108.0,1993,13556885,50272255
Hocus Pocus,96.0,1993,58398890,82414835
A Perfect World,138.0,1993,62570239,281839300
Dragon: The Bruce Lee Story,120.0,1993,29199445,132469004
The Good Son,87.0,1993,35456469,92721749
Return of the Living Dead 3,97.0,1993,4171349,113058
Mrs. Doubtfire,125.0,1993,52141866,920379436
Menace II Society,97.0,1993,7299861,58190323
Super Mario Bros.,104.0,1993,100112383,43622855
True Romance,120.0,1993,26070933,25615319
Bopha!,120.0,1993,25028095,443170
Manhattan Murder Mystery,104.0,1993,28156607,23538064
Last Action Hero,130.0,1993,177282346,286359979
Killing Zoe,96.0,1993,3128511,873816
Kalifornia,117.0,1993,18771071,4995672
Jurassic Park,127.0,1993,131397503,1919029258
In the Name of the Father,133.0,1993,27113770,137230848
In the Line of Fire,128.0,1993,83426986,369158508
Poetic Justice,109.0,1993,29199445,57388977
Once Upon a Forest,71.0,1993,27113770,13728019
Dennis the Menace,94.0,1993,72998613,244588663
Teenage Mutant Ninja Turtles III,96.0,1993,43799167,87598335
What's Eating Gilbert Grape,118.0,1993,22942421,20925083
The Firm,154.0,1993,87598335,563650172
Groundhog Day,101.0,1993,30450850,147888877
Deadfall,98.0,1993,20856746,37
Batman: Mask of the Phantasm,76.0,1993,12514047,11716050
Calendar Girl,90.0,1993,27113770,5360486
Carnosaur,83.0,1993,2085674,3658229
Dazed and Confused,102.0,1993,14391155,16670878
Demolition Man,115.0,1993,118883455,331738585
For Love or Money,94.0,1993,62570239,23247492
Little Buddha,140.0,1993,72998613,10132497
Leprechaun,92.0,1993,1877107,17846992
Cliffhanger,112.0,1993,145997226,531847479
The Age of Innocence,139.0,1993,70912938,67274353
The Fugitive,130.0,1993,91769685,769354826
A Bronx Tale,121.0,1993,45884842,36056930
Free Willy,112.0,1993,41713493,320565328
Body Snatchers,87.0,1993,27113770,894479
Hard Target,97.0,1993,37542143,154735529
喜宴,109.0,1993,2085674,14460939
Children of the Corn II: The Final Sacrifice,92.0,1993,1877107,14560065
Sankofa,124.0,1993,2085674,5614425
Carlito's Way,144.0,1993,62570239,76160521
Son of the Pink Panther,93.0,1993,52141866,5084939
Body of Evidence,101.0,1993,62570239,27684400
Only the Strong,99.0,1993,12514047,6848043
Cool Runnings,98.0,1993,29199445,322996757
Indecent Proposal,117.0,1993,79255637,556070188
A Home of Our Own,104.0,1993,25028095,3552492
Jason Goes to Hell: The Final Friday,87.0,1993,6257023,33241618
The Nutcracker,93.0,1993,39627818,4421617
Geronimo: An American Legend,115.0,1993,72998613,38867840
The Crush,89.0,1993,12514047,28384772
"Bodies, Rest & Motion",95.0,1993,5214186,1593628
Sister Act 2: Back in the Habit,107.0,1993,79255637,119548846
Beethoven's 2nd,89.0,1993,31285119,246616567
Red Rock West,98.0,1993,16685397,4171349
Airborne,91.0,1993,5422754,5944721
Josh and S.A.M.,96.0,1993,37542143,3187250
Philadelphia Experiment II,97.0,1993,10428373,6194
The Temp,99.0,1993,31285119,13389772
Falling Down,113.0,1993,52141866,85311587
Man's Best Friend,97.0,1993,12514047,27060869
Money for Nothing,100.0,1993,22942421,2179162
New Nightmare,112.0,1994,28362287,36648494
Wyatt Earp,191.0,1994,127630295,50752288
I'll Do Anything,115.0,1994,81035108,20682410
"Car 54, Where Are You?",89.0,1994,21676891,2508198
The Shadow,108.0,1994,50646942,97370641
Frankenstein,123.0,1994,91164496,226911057
I Love Trouble,123.0,1994,91164496,125497587
The Ref,97.0,1994,22284654,23174406
In the Mouth of Madness,95.0,1994,16207021,18124717
Курочка Ряба,117.0,1994,5469869,9390232
The Air Up There,107.0,1994,34601991,42566729
Highlander III: The Sorcerer,99.0,1994,52672820,74552299
Street Fighter,102.0,1994,70905719,201419894
Jason's Lyric,119.0,1994,14181143,42242631
Natural Born Killers,119.0,1994,68879841,101866734
The Next Karate Kid,107.0,1994,24310532,32063534
Serial Mom,95.0,1994,26336410,15843757
No Escape,118.0,1994,40517554,31076963
Muriel's Wedding,106.0,1994,6077633,30630539
Stargate,121.0,1994,111423273,398221233
A Low Down Dirty Shame,100.0,1994,20258777,59545444
Ace Ventura: Pet Detective,86.0,1994,30388165,217209332
Beverly Hills Cop III,104.0,1994,101293885,241502832
Clear and Present Danger,141.0,1994,125604417,437362112
The Shawshank Redemption,142.0,1994,50646942,57416350
Four Weddings and a Funeral,117.0,1994,12155266,515992736
Forrest Gump,142.0,1994,111423273,1373434468
The Flintstones,91.0,1994,93190374,692103047
The Crow,102.0,1994,30388165,190432504
Color of Night,121.0,1994,81035108,39962564
The Client,119.0,1994,91164496,238274033
There Goes My Baby,99.0,1994,21271715,250214
Star Trek: Generations,118.0,1994,76983352,243105324
The Santa Clause,97.0,1994,44569309,384579165
The Lion King,89.0,1994,91164496,1596881439
The Specialist,110.0,1994,91164496,345133756
The Swan Princess,89.0,1994,70905719,19796184
Prêt-à-Porter,133.0,1994,30388165,22893740
Pulp Fiction,154.0,1994,16207021,433393509
Léon,110.0,1994,32414043,91741819
Nell,112.0,1994,62802208,216128366
Dumb and Dumber,107.0,1994,32414043,500949666
Disclosure,123.0,1994,111423273,433568397
Junior,109.0,1994,121552662,74957475
Leprechaun 2,85.0,1994,4051755,4579743
Clerks,92.0,1994,54698,6383804
A Troll in Central Park,76.0,1994,46595187,144582
Don Juan DeMarco,97.0,1994,50646942,44974485
Rapa Nui,107.0,1994,40517554,618034
Drop Zone,101.0,1994,91164496,58214233
Love Affair,108.0,1994,121552662,37018648
Legends of the Fall,133.0,1994,60776331,325434731
Clifford,89.0,1994,38491676,15015114
Intersection,98.0,1994,91164496,43264427
Camilla,95.0,1994,17219960,508481
Ed Wood,127.0,1994,36465798,11927267
Hoop Dreams,171.0,1994,1418114,15863860
Texas Chainsaw Massacre: The Next Generation,95.0,1994,1215526,376606
True Lies,141.0,1994,232975935,767569428
Heavenly Creatures,99.0,1994,10129388,6177174
Утомлённые солнцем,135.0,1994,5672457,5300715
Reality Bites,99.0,1994,23297593,40679320
Interview with the Vampire,123.0,1994,121552662,453117142
Renaissance Man,128.0,1994,81035108,49294312
PCU,79.0,1994,18232899,8814136
Surviving the Game,96.0,1994,14991495,15579025
Timecop,99.0,1994,54698698,205923542
Speed,116.0,1994,60776331,709965083
The Naked Gun 33⅓: The Final Insult,83.0,1994,60776331,103588390
The Mask,101.0,1994,46595187,712264985
Mixed Nuts,97.0,1994,30388165,13820233
The Hudsucker Proxy,111.0,1994,60776331,5705921
On Deadly Ground,102.0,1994,101293885,99268007
Immortal Beloved,121.0,1994,243,20085380
Death Wish 5: The Face of Death,95.0,1994,10129388,3448842
The Pagemaster,80.0,1994,54698698,27695142
Double Dragon,89.0,1994,7090571,4743205
The Chase,89.0,1994,52672820,16225921
Silent Fall,101.0,1994,60776331,6443656
Terminal Velocity,102.0,1994,101293885,33384236
Baby's Day Out,99.0,1994,101293885,33774430
Thumbelina,87.0,1994,56724575,23041322
La Cité des Enfants Perdus,108.0,1995,35539136,3432707
Sense and Sensibility,136.0,1995,32577541,266543523
Four Rooms,98.0,1995,7897585,8489904
Restoration,117.0,1995,37513532,7909315
Money Train,103.0,1995,118463788,69955064
Leaving Las Vegas,112.0,1995,7107827,98324944
Assassins,132.0,1995,98719823,59830278
Wild Bill,98.0,1995,59231894,4280112
Braveheart,177.0,1995,142156545,414623258
Twelve Monkeys,129.0,1995,58244695,333357099
Get Shorty,105.0,1995,59725493,227256236
Ace Ventura: When Nature Calls,90.0,1995,59231894,419333246
Under Siege 2: Dark Territory,100.0,1995,118463788,205977101
Babe,89.0,1995,59231894,501763069
Dead Man Walking,122.0,1995,21718361,77719421
Clueless,97.0,1995,23692757,111813175
Dead Presidents,119.0,1995,19743964,47676104
The Bridges of Madison County,135.0,1995,47385515,359372965
Die Hard: With a Vengeance,128.0,1995,177695682,722829836
紅番區,91.0,1995,14807973,63954743
Never Talk to Strangers,86.0,1995,12636137,11
A Walk in the Clouds,103.0,1995,39487929,98744517
Nixon,192.0,1995,86873444,27013228
Top Dog,86.0,1995,11846378,10056997
The Tie That Binds,99.0,1995,27641550,11412011
Now and Then,100.0,1995,23692757,54098463
Mighty Aphrodite,95.0,1995,29615947,13228456
Friday,91.0,1995,6910387,55709408
The Pebble and the Penguin,74.0,1995,55283101,7865821
Se7en,127.0,1995,65155083,646243378
Pocahontas,81.0,1995,108591805,683298681
How To Make An American Quilt,116.0,1995,19743964,46544679
The Usual Suspects,106.0,1995,11846378,46085509
Things to Do in Denver When You're Dead,116.0,1995,15795171,1045968
To Die For,106.0,1995,39487929,42024069
Waterworld,135.0,1995,345519382,521671520
Fair Game,91.0,1995,98719823,22773630
Screamers,108.0,1995,39487929,11415733
Nick of Time,90.0,1995,16129561,16141374
Tall Tale,98.0,1995,63180687,21812395
Vampire in Brooklyn,100.0,1995,27641550,39093050
La Haine,98.0,1995,5923189,611689
Cutthroat Island,119.0,1995,193490853,19778165
Mortal Kombat,101.0,1995,35539136,241263193
Casino,178.0,1995,102668616,229251863
Jumanji,104.0,1995,128335770,518865960
Waiting to Exhale,127.0,1995,31590343,160818849
Heat,170.0,1995,118463788,370074591
Sabrina,127.0,1995,114514995,105547916
Sudden Death,106.0,1995,69103876,127052750
GoldenEye,130.0,1995,114514995,695370657
The American President,106.0,1995,122412581,212996896
Dilwale Dulhania Le Jayenge,190.0,1995,26062033,197439646
Crimson Tide,116.0,1995,104643012,310744722
Jefferson in Paris,139.0,1995,27641550,4884656
Boys on the Side,115.0,1995,41462325,46299597
Batman Forever,121.0,1995,197439646,664441953
Canadian Bacon,91.0,1995,21718361,351647
Casper,100.0,1995,98719823,568484409
Clockers,128.0,1995,49359911,25808358
Devil in a Blue Dress,102.0,1995,53308704,31868381
The Scarlet Letter,135.0,1995,98719823,20498987
First Knight,134.0,1995,108591805,251933848
Hackers,107.0,1995,39487929,14933797
Johnny Mnemonic,97.0,1995,49359911,37663034
Judge Dredd,96.0,1995,177695682,224081128
Blue in the Face,83.0,1995,3948792,2517355
Kids,91.0,1995,2961594,14634653
Congo,109.0,1995,98719823,300151899
Toy Story,81.0,1995,59231894,737543763
Living in Oblivion,89.0,1995,987198,2268091
Mighty Morphin Power Rangers: The Movie,92.0,1995,29615947,130310166
Before Sunrise,105.0,1995,4935991,10929084
Rangeela,175.0,1995,5528310,27641550
ஆசை,157.0,1995,987198,987198
The Immortals,98.0,1995,98,163
The Prophecy,98.0,1995,15,31
Party Girl,94.0,1995,296159,932645
The Net,114.0,1995,43436722,218423463
Strange Days,145.0,1995,82924651,15714796
Mallrats,94.0,1995,11846378,4190776
Search and Destroy,90.0,1995,7897585,769033
Mute Witness,95.0,1995,3,1
Rob Roy,139.0,1995,55283101,62384829
Showgirls,128.0,1995,88847841,40180456
Houseguest,113.0,1995,20731162,51976492
A Little Princess,97.0,1995,33564739,19774467
Smoke,112.0,1995,13820775,16485085
Losing Isaiah,106.0,1995,33564739,15012848
Miami Rhapsody,95.0,1995,11,9
Outbreak,127.0,1995,98719823,374858044
The Perez Family,113.0,1995,21718361,5593121
The Quick and the Dead,107.0,1995,63180687,36629911
Roommates,108.0,1995,43436722,24482516
Tank Girl,98.0,1995,49359911,8024924
Virtuosity,106.0,1995,59231894,47480286
Hideaway,103.0,1995,29615947,24090114
While You Were Sleeping,103.0,1995,33564739,359452729
Le Hussard sur le toit,135.0,1995,69103876,29615947
Halloween: The Curse of Michael Myers,88.0,1995,9871982,29846228
Species,108.0,1995,69103876,223845428
Billy Madison,89.0,1995,19743964,52299262
Steal Big Steal Little,113.0,1995,49359911,12395535
An Awfully Big Adventure,113.0,1995,7897585,1681287
Tales from the Hood,98.0,1995,11846378,23692757
Desperado,104.0,1995,13820775,50160420
Jade,95.0,1995,98719823,19450984
Bad Boys,118.0,1995,37513532,279193528
Apollo 13,140.0,1995,102668616,701380520
Broken Arrow,108.0,1996,96025894,288596504
Happy Gilmore,92.0,1996,23046214,79135129
Flirting with Disaster,92.0,1996,13443625,28236295
Fargo,98.0,1996,13443625,116406381
Bottle Rocket,91.0,1996,13443625,1075622
Executive Decision,133.0,1996,105628483,234244060
The Quest,95.0,1996,57615536,110238776
Hard Eight,96.0,1996,5761553,427428
The Ghost and the Darkness,109.0,1996,96025894,144038841
The Birdcage,117.0,1996,59536054,355796204
Primal Fear,129.0,1996,57615536,197076214
Space Jam,88.0,1996,153641430,480513574
Mission: Impossible,110.0,1996,153641430,879014042
DragonHeart,103.0,1996,109469519,221373054
Faithful,91.0,1996,24966732,18801678
Mrs. Winterbourne,105.0,1996,48012947,19339615
Lone Star,135.0,1996,9602589,25485201
Fled,98.0,1996,48012947,33019907
She's the One,96.0,1996,6721812,18211462
White Squall,129.0,1996,72979679,19781334
Ridicule,102.0,1996,5761553,4808648
Big Bully,90.0,1996,28807768,3922715
Girl 6,108.0,1996,23046214,9487241
James and the Giant Peach,79.0,1996,72979679,55543804
The Cable Guy,96.0,1996,90264340,197478780
The Hunchback of Notre Dame,91.0,1996,192051788,192318454
The Long Kiss Goodnight,120.0,1996,124833662,171803309
The Fan,116.0,1996,105628483,35772370
The Arrival,115.0,1996,48012947,26980149
Twister,113.0,1996,176687645,949641404
Heaven's Prisoners,132.0,1996,48012947,9620459
Striptease,115.0,1996,96025894,217613387
The Rock,136.0,1996,144038841,643493755
Original Gangstas,99.0,1996,9218485,5788440
The Phantom,100.0,1996,86423304,33226666
Eraser,115.0,1996,192051788,465332959
Jack,113.0,1996,86423304,112582626
Trainspotting,93.0,1996,7682071,31671414
Courage Under Fire,117.0,1996,88343822,193705004
From Dusk Till Dawn,108.0,1996,36489839,49619683
Independence Day,145.0,1996,144038841,1569004088
Kingpin,113.0,1996,51853982,48057952
The Nutty Professor,95.0,1996,103707965,247303829
The Frighteners,110.0,1996,57615536,56384899
Multiplicity,117.0,1996,86423304,40474941
The Craft,101.0,1996,28807768,47570202
Mary Reilly,104.0,1996,90264340,23774862
Flipper,95.0,1996,49030821,38564037
காதல் கோட்டை,157.0,1996,960258,960258
Doctor Who,89.0,1996,9602589,80661751
Phenomenon,123.0,1996,61456572,291988590
Daylight,115.0,1996,153641430,305770393
Hellraiser: Bloodline,86.0,1996,7682071,32024635
The Island of Dr. Moreau,96.0,1996,76820715,95311037
The Preacher's Wife,124.0,1996,76820715,92363871
Larger Than Life,93.0,1996,57615536,15970437
Matilda,98.0,1996,69138643,64259406
Chain Reaction,107.0,1996,96025894,115633102
Emma,121.0,1996,11523107,42696296
The Crow: City of Angels,84.0,1996,24966732,34410470
Bordello of Blood,87.0,1996,28807768,10754900
The Spitfire Grill,117.0,1996,11523107,24282597
The First Wives Club,102.0,1996,49933464,223548281
The Glimmer Man,92.0,1996,86423304,89496133
Joe's Apartment,78.0,1996,24966732,8870898
Basquiat,108.0,1996,5688671,5783053
Escape from L.A.,97.0,1996,96025894,81194435
Bound,108.0,1996,8642330,13465359
Last Man Standing,101.0,1996,128674698,90777120
Get on the Bus,120.0,1996,4609242,11006685
Curdled,88.0,1996,4417191,95296
The Wind in the Willows,84.0,1996,23,1
Set It Off,118.0,1996,17284660,79876040
Extreme Measures,118.0,1996,72979679,33378842
Michael Collins,132.0,1996,53774500,32456752
Maximum Risk,100.0,1996,48012947,99295543
Bulletproof,84.0,1996,48012947,43426662
Jingle All the Way,89.0,1996,115231072,249345424
Manny & Lo,88.0,1996,960258,828369
101 Dalmatians,103.0,1996,103707965,615889523
Tin Cup,135.0,1996,86423304,103428699
Jude,123.0,1996,13443625,777809
The People vs. Larry Flynt,129.0,1996,69138643,38987252
Everyone Says I Love You,101.0,1996,38410357,66513973
The Chamber,113.0,1996,96025894,43289162
Romeo + Juliet,120.0,1996,27847509,282889904
Swingers,94.0,1996,384103,8653703
Sleepers,147.0,1996,84502786,318067116
Sling Blade,135.0,1996,1920517,46945371
Silent Trigger,93.0,1996,28807768,146692
Space Truckers,95.0,1996,48012947,3100226
Secrets & Lies,142.0,1996,8642330,25768149
Mars Attacks!,106.0,1996,134436251,194684850
Citizen Ruth,104.0,1996,5761553,294136
Star Trek: First Contact,111.0,1996,88343822,288077682
Ransom,117.0,1996,153641430,594386228
The English Patient,162.0,1996,51853982,445514872
Bad Moon,80.0,1996,13443625,2112569
Jerry Maguire,139.0,1996,96025894,525362644
Kama Sutra - A Tale of Love,117.0,1996,5761553,7891590
A Time to Kill,149.0,1996,76820715,292429589
The Funeral,99.0,1996,24006473,2357097
Marvin's Room,98.0,1996,44171911,24588976
Scream,111.0,1996,26887250,332339210
Evita,134.0,1996,105628483,270883629
Surviving Picasso,125.0,1996,30728286,3812229
Starship Troopers,129.0,1997,195911802,226165020
キュア,111.0,1997,37316,184716
Nothing to Lose,97.0,1997,46645667,82992044
The Relic,110.0,1997,111949601,63357145
The Castle,85.0,1997,1467799,1607948
Paws,83.0,1997,256982,3318169
